rel_delta,rel_theta,rel_alpha,rel_beta,rel_gamma,spectral_centroid,spectral_entropy,label
0.05373597644033163,0.08458315436994826,0.225531772592898,0.40557258048575,0.09657748686497414,15.854434327102934,0.7347039436557967,awake
0.04114181178773858,0.07641461553382498,0.27237092269784613,0.3827116925448159,0.08077093560434265,15.423837316302278,0.7127389968124525,awake
0.07486284867876256,0.07526738642249585,0.21285131683631545,0.4093733284681227,0.09566853640585266,15.507529187290924,0.7337370423787807,awake
0.05899789144311611,0.08239764397886783,0.23540386467434807,0.38998140193853176,0.10014991093059356,15.635244741254395,0.733128294802977,awake
0.05602814668669881,0.0820522036839852,0.25517512606129966,0.35672964328835066,0.10401897058402834,15.459051399835882,0.7233116123884623,awake
0.049285070510428235,0.06999685084492716,0.25576551923758123,0.37624104486504445,0.09579375517985575,15.723869416064295,0.7206342362906176,awake
0.04885173144092348,0.07854065739372117,0.24523821850120223,0.4195003508478176,0.086995395771865,15.833926800930747,0.7245020483323188,awake
0.052294318343885676,0.08201627771454255,0.23703111861409604,0.412157535379655,0.08738384789576499,15.923967834928659,0.7301733599810852,awake
0.0475136980797952,0.07301192219661096,0.2670330541616535,0.3727323952763363,0.10585128461820402,15.791189925076441,0.7287379163349132,awake
0.04166144197692149,0.08038787149144874,0.26375815831828064,0.3640235430381382,0.09438030671871586,15.455174707173137,0.7199050538592536,awake
0.04288760778423203,0.10275800521958338,0.24114572613477137,0.3692288935913098,0.10004652489900642,15.568527988198921,0.7289167469726208,awake
0.05398979223987919,0.07480726364968916,0.27873267524105083,0.36225563356747753,0.10130248874830247,15.517635592076509,0.7258060380444009,awake
0.06395757155226069,0.09753469365506866,0.25755970051888116,0.34882609401945336,0.09988147255597946,15.200028554637758,0.7285587241130054,awake
0.04994955761952199,0.1089407586941072,0.24118851498775476,0.3719371802957021,0.10218663291715537,15.578472858535207,0.7315848231267061,awake
0.052613160294444884,0.10861485505236271,0.1893244452243089,0.42135842232405835,0.10553486762037524,15.95703281776099,0.7385840543921419,awake
0.062472886030414176,0.08481402564456604,0.24292817322557955,0.3813274273709942,0.10388244915786819,15.566107038533737,0.7271305729258118,awake
0.0626568193888994,0.0868304390471258,0.22139148786012022,0.38117202905219016,0.11690714607028108,15.801679295355077,0.7338594160349164,awake
0.057646105578766094,0.09518430196710335,0.23118009239685514,0.3524356433305699,0.10749361541312938,15.37403472685411,0.7250365230713796,awake
0.05214748098319281,0.08377118151575563,0.20541940580439422,0.40285481926368405,0.11486720228127849,16.30367473052061,0.7385687103979768,awake
0.04331000787421292,0.09886423719453406,0.2377830573052112,0.3773715120876252,0.09957379476489152,15.954153244471726,0.7299874971466462,awake
0.051115541571993744,0.07941579055326359,0.2680952159718879,0.3774917358223202,0.08469710458406576,15.620712433210482,0.7225302480971326,awake
0.049471502500437435,0.07498728118908872,0.2596258799158593,0.39067453423761406,0.09755756451169482,15.858072106463588,0.7273561795014081,awake
0.060380307424980684,0.1038724132008927,0.18403936609623517,0.41585942936219134,0.10688287501562146,16.140088667567152,0.7426782119032947,awake
0.055176704466389254,0.08615328582205273,0.23013983094748666,0.414627704759704,0.09356292733306376,15.981391905881658,0.7335390757517953,awake
0.06355614857403723,0.08386454963104714,0.21681611207538254,0.41380128341624645,0.1009509275336963,16.11525518405444,0.73879167082611,awake
0.051059909745355125,0.10947876163505738,0.2510190473720033,0.36397495271901525,0.09364254055838976,15.487352028763976,0.7273951579167246,awake
0.053479960829370274,0.09321247906559367,0.2691362944266065,0.3488175514714582,0.09387466465652775,15.482930092996968,0.7220773828208605,awake
0.058907752824381744,0.0729190136950668,0.25943814748706645,0.3851282037286287,0.09089732421641082,15.745578926445257,0.7266644525483662,awake
0.0642260999975579,0.07304899179766172,0.2249479655072146,0.42484992249687753,0.0886227771287021,15.833406618773129,0.7324381787092191,awake
